Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Minm_Balance,Maxm_Balance,Bank_Offer_Feature,Term_in_Months,Interest_Type,Interest,AER,Source
 2018-04-11,UK,London,Santander Bank,Private,GBP,Bank,Deposits,Term Deposits,12MCDF,1 Year Fixed Rate Bond,500,2000000,Offline,12.0,Fixed,0.50%,0.50%,comparethemarket.com
 2018-04-11,UK,London,Halifax,Private,GBP,Bank,Deposits,Term Deposits,12MCDF,Fixed Saver - 1 Year ,500,,Online,12.0,Fixed,0.45%,0.45%,comparethemarket.com
 2018-04-11,UK,London,Bank of Scotland,Private,GBP,Bank,Deposits,Term Deposits,12MCDF,Fixed Rate Bond 1 year,2000,,Online,12.0,Fixed,0.40%,0.40%,comparethemarket.com
 2018-04-11,UK,London,HSBC,HSBA,GBP,Bank,Deposits,Term Deposits,6MCDF,6 Month Fixed Rate Saver ,2000,1000000,Offline,6.0,Fixed,0.40%,0.40%,comparethemarket.com
 2018-04-11,UK,London,Lloyds Bank,LLOY,GBP,Bank,Deposits,Term Deposits,12MCDF,Fixed Bond - 1 Year,1,,Offline,12.0,Fixed,0.40%,0.40%,comparethemarket.com
 2018-04-11,UK,London,Lloyds Bank,LLOY,GBP,Bank,Deposits,Term Deposits,12MCDF,Online Fixed Bond - 1 Year,2000,,Online,12.0,Fixed,0.40%,0.40%,comparethemarket.com
 2018-04-11,UK,London,Bank of Ireland,BIRG,GBP,Bank,Deposits,Term Deposits,6MCDF,6 Month Limited Edition Fixed Term Deposit,2000,1000000,Offline,6.0,Fixed,0.30%,0.30%,comparethemarket.com
 2018-04-11,UK,London,Virgin Money Plc.,VM,GBP,Bank,Deposits,Savings,_MSBF,Double Take E-Saver Issue 5,1,250000,Offline,,Fixed,1.2%,1.2%,moneysupermarket.com
 2018-04-11,UK,London,Virgin Money Plc.,VM,GBP,Bank,Deposits,Savings,_MSBF,Double Take E-Saver Issue 5,1,250000,Offline,,Fixed,1.2%,1.2%,moneysupermarket.com
 2018-04-11,UK,London,Virgin Money Plc.,VM,GBP,Bank,Deposits,Savings,_MSBF,Easy Access Saver Issue 31,1,250000,Offline,,Fixed,1.01%,1.01%,moneysupermarket.com
