Date,Bank_Native_Country,State,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term (Y),Interest_Type,Interest,APRC,Mortgage_Loan_Amt,Mortgage_Down_Payment,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode,Fixed_Rate_Term,Bank_Product_Code
03-19-2018,UK,London,The Co-operative Bank,GBP,Bank,Mortgages,Mortgages,3 Year Fixed Rate,"5,000",Offline,,Fixed,1.64,4.1,,40.0,Existing Customers ,Primary Residence,Principal + Interest,3,
03-19-2018,UK,London,The Co-operative Bank,GBP,Bank,Mortgages,Mortgages,3 Year Fixed Rate,"5,000",Offline,,Fixed,2.54,4.4,,10.0,Existing Customers ,Primary Residence,Principal + Interest,3,
03-19-2018,UK,London,The Co-operative Bank,GBP,Bank,Mortgages,Mortgages,3 Year Fixed Rate,"5,000",Offline,,Fixed,1.79,4.1,,30.0,Existing Customers ,Primary Residence,Principal + Interest,3,
03-19-2018,UK,London,The Co-operative Bank,GBP,Bank,Mortgages,Mortgages,3 Year Fixed Rate,"5,000",Offline,,Fixed,1.84,4.1,,25.0,Existing Customers ,Primary Residence,Principal + Interest,3,
03-19-2018,UK,London,The Co-operative Bank,GBP,Bank,Mortgages,Mortgages,3 Year Fixed Rate,"5,000",Offline,,Fixed,2.04,4.2,,20.0,Existing Customers ,Primary Residence,Principal + Interest,3,
03-19-2018,UK,London,The Co-operative Bank,GBP,Bank,Mortgages,Mortgages,3 Year Fixed Rate,"5,000",Offline,,Fixed,2.14,4.3,,15.0,Existing Customers ,Primary Residence,Principal + Interest,3,
03-19-2018,UK,London,The Co-operative Bank,GBP,Bank,Mortgages,Mortgages,5 Year Fixed Rate,"5,000",Offline,,Fixed,1.89,3.6,,40.0,Existing Customers ,Primary Residence,Principal + Interest,5,
03-19-2018,UK,London,The Co-operative Bank,GBP,Bank,Mortgages,Mortgages,5 Year Fixed Rate,"5,000",Offline,,Fixed,2.74,4.1,,10.0,Existing Customers ,Primary Residence,Principal + Interest,5,
03-19-2018,UK,London,The Co-operative Bank,GBP,Bank,Mortgages,Mortgages,5 Year Fixed Rate,"5,000",Offline,,Fixed,1.99,3.6,,30.0,Existing Customers ,Primary Residence,Principal + Interest,5,
03-19-2018,UK,London,The Co-operative Bank,GBP,Bank,Mortgages,Mortgages,5 Year Fixed Rate,"5,000",Offline,,Fixed,2.04,3.7,,25.0,Existing Customers ,Primary Residence,Principal + Interest,5,
03-19-2018,UK,London,The Co-operative Bank,GBP,Bank,Mortgages,Mortgages,5 Year Fixed Rate,"5,000",Offline,,Fixed,2.24,3.9,,20.0,Existing Customers ,Primary Residence,Principal + Interest,5,
03-19-2018,UK,London,The Co-operative Bank,GBP,Bank,Mortgages,Mortgages,5 Year Fixed Rate,"5,000",Offline,,Fixed,2.34,4.0,,15.0,Existing Customers ,Primary Residence,Principal + Interest,5,
03-19-2018,UK,London,The Co-operative Bank,GBP,Bank,Mortgages,Mortgages,2 Year Fixed Rate,"5,000",Offline,,Fixed,1.49,4.3,,40.0,Existing Customers ,Primary Residence,Principal + Interest,2,
03-19-2018,UK,London,The Co-operative Bank,GBP,Bank,Mortgages,Mortgages,2 Year Fixed Rate,"5,000",Offline,,Fixed,1.54,4.2,,30.0,Existing Customers ,Primary Residence,Principal + Interest,2,
03-19-2018,UK,London,The Co-operative Bank,GBP,Bank,Mortgages,Mortgages,2 Year Fixed Rate,"5,000",Offline,,Fixed,1.59,4.3,,25.0,Existing Customers ,Primary Residence,Principal + Interest,2,
03-19-2018,UK,London,The Co-operative Bank,GBP,Bank,Mortgages,Mortgages,2 Year Fixed Rate,"5,000",Offline,,Fixed,1.79,4.4,,20.0,Existing Customers ,Primary Residence,Principal + Interest,2,
03-19-2018,UK,London,The Co-operative Bank,GBP,Bank,Mortgages,Mortgages,2 Year Fixed Rate,"5,000",Offline,,Fixed,1.89,4.4,,15.0,Existing Customers ,Primary Residence,Principal + Interest,2,
03-19-2018,UK,London,The Co-operative Bank,GBP,Bank,Mortgages,Mortgages,2 Year Fixed Rate,"5,000",Offline,,Fixed,2.29,4.5,,10.0,Existing Customers ,Primary Residence,Principal + Interest,2,
03-19-2018,UK,London,The Co-operative Bank,GBP,Bank,Mortgages,Mortgages,Lifetime Tracker,"5,000",Offline,,Fixed,2.99,3.3,,60,Existing Customers ,Primary Residence,Principal + Interest,,
03-19-2018,UK,London,The Co-operative Bank,GBP,Bank,Mortgages,Mortgages,Lifetime Tracker,"5,000",Offline,,Fixed,3.14,3.3,,70,Existing Customers ,Primary Residence,Principal + Interest,,
03-19-2018,UK,London,The Co-operative Bank,GBP,Bank,Mortgages,Mortgages,Lifetime Tracker,"5,000",Offline,,Fixed,3.29,3.5,,75,Existing Customers ,Primary Residence,Principal + Interest,,
