Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term (Y),Interest_Type,Interest,APRC,Mortgage_Loan_Amt,Mortgage_Down_Payment,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode,Fixed_Rate_Term,Source
 2018-04-03,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,15YMF,5 year fixed rate - FTB Cashback Exclusive,,Offline,15,Variable,3.38%,,72000,20%,New Purchase,Primary Residence,Principal + Interest,5,Bank Website
 2018-04-03,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,30YMF,2 year fixed rate,,Offline,30,Variable,2.94%,,72000,20%,New Purchase,Primary Residence,Principal + Interest,2,Bank Website
 2018-04-03,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,30YMF,5 year fixed rate,,Offline,30,Variable,3.30%,,72000,20%,New Purchase,Primary Residence,Principal + Interest,5,Bank Website
 2018-04-03,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,30YMF,2 year fixed rate,,Offline,30,Variable,1.85%,,72000,20%,New Purchase,Primary Residence,Principal + Interest,2,Bank Website
 2018-04-03,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,30YMF,5 year fixed rate - Cashback,,Offline,30,Variable,2.04%,,72000,20%,New Purchase,Primary Residence,Principal + Interest,5,Bank Website
 2018-04-03,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,30YMF,2 year fixed rate - FTB Cashback Exclusive,,Offline,30,Variable,2.64%,,72000,20%,New Purchase,Primary Residence,Principal + Interest,2,Bank Website
 2018-04-03,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,30YMF,5 year fixed rate - FTB Cashback Exclusive,,Offline,30,Variable,3.38%,,72000,20%,New Purchase,Primary Residence,Principal + Interest,5,Bank Website
 2018-04-03,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,10YMF,2 year fixed rate,,Offline,10,Variable,2.94%,,216000,20%,New Purchase,Primary Residence,Principal + Interest,2,Bank Website
 2018-04-03,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,10YMF,5 year fixed rate,,Offline,10,Variable,3.30%,,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,Bank Website
 2018-04-03,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,10YMF,2 year fixed rate,,Offline,10,Variable,1.85%,,216000,20%,New Purchase,Primary Residence,Principal + Interest,2,Bank Website
 2018-04-03,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,10YMF,5 year fixed rate - Cashback,,Offline,10,Variable,2.04%,,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,Bank Website
 2018-04-03,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,10YMF,2 year fixed rate - FTB Cashback Exclusive,,Offline,10,Variable,2.64%,,216000,20%,New Purchase,Primary Residence,Principal + Interest,2,Bank Website
 2018-04-03,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,10YMF,5 year fixed rate - FTB Cashback Exclusive,,Offline,10,Variable,3.38%,,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,Bank Website
