Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Minm_Balance,Maxm_Balance,Bank_Offer_Feature,Term_in_Months,Interest_Type,Interest,AER,Source
 2018-04-10,UK,London,Halifax,Private,GBP,Bank,Deposits,Term Deposits,24MCDF,ISA Saver Fixed,500,,Offline,24,Fixed,1.00%,1.00%,Bank website
 2018-04-10,UK,London,Halifax,Private,GBP,Bank,Deposits,Term Deposits,12MCDF,Fixed Saver,500,,Offline,12,Fixed,0.45%,0.45%,Bank website
 2018-04-10,UK,London,Halifax,Private,GBP,Bank,Deposits,Savings,60MSBF,ISA Saver Fixed,500,,Offline,60,Fixed,2.25%,2.25%,Bank website
 2018-04-10,UK,London,Halifax,Private,GBP,Bank,Deposits,Savings,12MSBF,ISA Saver Variable,1,,Offline,12,Fixed,0.35%,0.35%,Bank website
 2018-04-10,UK,London,Halifax,Private,GBP,Bank,Deposits,Savings,_MSBF,Everyday Saver ,1,,Online,,Fixed,0.20%,0.20%,comparethemarket.com
 2018-04-10,UK,London,Halifax,Private,GBP,Bank,Deposits,Savings,60MSBF,ISA Saver Fixed - 5 Year ,500,,Online,60,Fixed,2.25%,2.25%,comparethemarket.com
 2018-04-10,UK,London,Halifax,Private,GBP,Bank,Deposits,Savings,24MSBF,ISA Saver Fixed - 2 Year ,1,,Online,24,Fixed,1.00%,1.00%,comparethemarket.com
 2018-04-10,UK,London,Halifax,Private,GBP,Bank,Deposits,Savings,_MSBF,ISA Saver Variable,1,,Online,,Fixed,0.35%,0.35%,comparethemarket.com
 2018-04-10,UK,London,Halifax,Private,GBP,Bank,Deposits,Term Deposits,24MCDF,Fixed Saver - 2 Year ,500,,Online,24,Fixed,0.55%,0.55%,comparethemarket.com
 2018-04-10,UK,London,Halifax,Private,GBP,Bank,Deposits,Term Deposits,12MCDF,Fixed Saver - 1 Year ,500,,Online,12,Fixed,0.45%,0.45%,comparethemarket.com
 2018-04-10,UK,London,Halifax,Private,GBP,Bank,Deposits,Savings,_MSBF,Everyday Saver,1,9000000,Offline,,Fixed,0.20%,0.20%,moneysupermarket.com
 2018-04-10,UK,London,Halifax,Private,GBP,Bank,Deposits,Savings,_MSBF,ISA Saver Variable,1,,Offline,,Fixed,0.35%,0.35%,moneysupermarket.com
 2018-04-10,UK,London,Halifax,Private,GBP,Bank,Deposits,Term Deposits,24MCDF,Fixed Saver,500,9000000,Offline,24,Fixed,0.55%,0.55%,moneysupermarket.com
 2018-04-10,UK,London,Halifax,Private,GBP,Bank,Deposits,Term Deposits,24MCDF,Fixed Saver,500,9000000,Offline,24,Fixed,0.55%,0.55%,moneysupermarket.com
 2018-04-10,UK,London,Halifax,Private,GBP,Bank,Deposits,Term Deposits,12MCDF,Fixed Saver,500,9000000,Offline,12,Fixed,0.45%,0.45%,moneysupermarket.com
 2018-04-10,UK,London,Halifax,Private,GBP,Bank,Deposits,Term Deposits,12MCDF,Fixed Saver,500,9000000,Offline,12,Fixed,0.45%,0.45%,moneysupermarket.com
 2018-04-10,UK,London,HSBC,HSBA,GBP,Bank,Deposits,Savings,_MSBF,Online Bonus Saver,50000,,Online,,Fixed,0.10%,0.10%,Bank website
 2018-04-10,UK,London,HSBC,HSBA,GBP,Bank,Deposits,Savings,_MSBF,Online Bonus Saver,50000,,Online,,Fixed,0.10%,0.10%,Bank website
 2018-04-10,UK,London,HSBC,HSBA,GBP,Bank,Deposits,Savings,_MSBF,Flexible Saver,,,Offline,,Fixed,0.05%,0.05%,Bank website
 2018-04-10,UK,London,HSBC,HSBA,GBP,Bank,Deposits,Term Deposits,36MCDF,Fixed Rate Saver,2000,,Offline,36,Fixed,0.70%,0.70%,Bank website
